源节点名称,源节点标签,关系类型,目标节点名称,目标节点标签,知识分类,页码,核心释义
Propulsion system,Component,PRODUCES,Thrust,Parameter,系统原理,Page 2,A propulsion system is a machine that produces thrust to move an object forward.
Propulsion system,Component,CLASSIFIED_TO,Airbreathing engine,Component,系统分类,Page 5,Propulsion systems are conveniently divided into two categories: airbreathing engines and non-airbreathing engines.
Propulsion system,Component,CLASSIFIED_TO,Non-airbreathing engine,Component,系统分类,Page 5,Propulsion systems are conveniently divided into two categories: airbreathing engines and non-airbreathing engines.
Airbreathing engine,Component,UTILIZES,Atmospheric oxygen,Parameter,工作原理,Page 5,An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.
Non-airbreathing engine,Component,CARRIES,Fuel and Oxidizer,Parameter,工作原理,Page 5,A non-airbreathing engine carries both the fuel and the oxidizer required for combustion.
Non-airbreathing engine,Component,SYNONYMOUS_WITH,Rocket engine,Component,系统同义,Page 5,Rocket engines are the primary example of non-airbreathing engines.
Airbreathing engine,Component,INCLUDES,Turbojet engine,Component,系统分类,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet."
Airbreathing engine,Component,INCLUDES,Turbofan engine,Component,系统分类,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet."
Airbreathing engine,Component,INCLUDES,Turboprop engine,Component,系统分类,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet."
Airbreathing engine,Component,INCLUDES,Turboshaft engine,Component,系统分类,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet."
Airbreathing engine,Component,INCLUDES,Ramjet engine,Component,系统分类,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet."
Airbreathing engine,Component,INCLUDES,Pulsejet engine,Component,系统分类,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet."
Gas generator,Parameter,IS_CORE_OF,Gas turbine engine,Component,部件关系,Page 6,The core of any gas turbine engine is the gas generator.
Gas generator,Parameter,CONSISTS_OF,Compressor,Component,部件组成,Page 6,"The gas generator consists of a compressor, a combustor, and a turbine."
Gas generator,Parameter,CONSISTS_OF,Combustor,Component,部件组成,Page 6,"The gas generator consists of a compressor, a combustor, and a turbine."
Gas generator,Parameter,CONSISTS_OF,Turbine,Component,部件组成,Page 6,"The gas generator consists of a compressor, a combustor, and a turbine."
Turbine,Component,DRIVES,Compressor,Component,部件关系,Page 6,The turbine extracts energy from the hot gas to drive the compressor.
Turbojet engine,Component,ADDS,Exhaust nozzle,Component,结构组成,Page 6,A turbojet engine is formed by adding an inlet and an exhaust nozzle to the gas generator.
Turbojet engine,Component,ADDS,Inlet,Component,结构组成,Page 6,A turbojet engine is formed by adding an inlet and an exhaust nozzle to the gas generator.
Turbofan engine,Component,ADDS,Fan,Parameter,结构组成,Page 6,A turbofan engine adds a fan driven by an additional turbine stage or a separate spool.
Turboprop engine,Component,DRIVES,Propeller,Parameter,结构组成,Page 7,A turboprop engine uses a gas turbine core to drive a propeller through a reduction gearbox.
Turboshaft engine,Component,DELIVERS,Shaft power,Parameter,输出特性,Page 7,"A turboshaft engine delivers power to a shaft to drive something other than a propeller, such as a helicopter rotor."
Ramjet engine,Component,HAS_NO,Moving parts,Parameter,结构特性,Page 7,The ramjet engine has no moving parts (no compressor or turbine) and relies on forward speed to compress air.
Pulsejet engine,Component,OPERATES_BY,Intermittent combustion,Parameter,工作原理,Page 7,A pulsejet engine operates with periodic or intermittent combustion using valves or acoustic geometry.
Uninstalled thrust,BoundaryCondition,DEFINED_AS,Internal performance,Parameter,性能指标,Page 8,"The uninstalled thrust (F_n) is the force produced by the engine alone, neglecting installation effects."
Installed thrust,BoundaryCondition,CALCULATED_FROM,Uninstalled thrust,BoundaryCondition,性能指标,Page 8,The installed thrust F is equal to the uninstalled thrust F_n minus the inlet drag D_inlet and the nozzle drag D_nozzle.
Installed thrust,BoundaryCondition,SUBSTRACTS,Inlet drag,Component,性能指标,Page 8,F = F_n - D_inlet - D_nozzle
Installed thrust,BoundaryCondition,SUBSTRACTS,Nozzle drag,Component,性能指标,Page 8,F = F_n - D_inlet - D_nozzle
Inlet drag,Component,IS_CAUSED_BY,Inlet installation,BoundaryCondition,安装损失,Page 8,Drag associated with the engine intake aerodynamic forces.
Nozzle drag,Component,IS_CAUSED_BY,Nozzle installation,BoundaryCondition,安装损失,Page 8,Drag associated with the exhaust aft-end geometry and flow field.
Thrust specific fuel consumption,Parameter,DEFINED_AS,Fuel mass flow per unit thrust,Parameter,性能指标,Page 11,Thrust specific fuel consumption (TSFC or S) is defined as the mass flow rate of fuel divided by the thrust.
TSFC,Parameter,INDICATES,Engine fuel efficiency,Component,性能指标,Page 11,Lower TSFC indicates a more fuel-efficient engine for a given thrust requirement.
Thermal efficiency,Parameter,MEASURES,Heat conversion to kinetic energy,Parameter,性能指标,Page 12,Thermal efficiency is the ratio of the rate of kinetic energy production to the thermal power input from fuel.
Propulsive efficiency,Parameter,MEASURES,Kinetic energy conversion to thrust power,Parameter,性能指标,Page 12,Propulsive efficiency measures how effectively the engine's kinetic energy output is converted into aircraft propulsive power.
Overall efficiency,Parameter,PRODUCT_OF,Thermal efficiency and Propulsive efficiency,Parameter,性能指标,Page 13,The overall efficiency of a propulsion system is the product of its thermal and propulsive efficiencies.
Specific thrust,Parameter,DEFINED_AS,Thrust per unit air mass flow,Parameter,性能指标,Page 15,Specific thrust is the thrust produced per unit mass flow rate of air entering the engine.
Bypass ratio,Parameter,DEFINED_AS,Fan mass flow to core mass flow,Parameter,性能指标,Page 16,The bypass ratio (alpha) is the ratio of the mass flow rate bypassing the core to the mass flow rate passing through the core.
High bypass ratio,Parameter,ASSOCIATED_WITH,Lower TSFC,Parameter,性能特性,Page 17,High bypass ratio engines generally provide lower TSFC at subsonic cruise speeds.
Continuity equation,Equation,EXPRESSES,Conservation of mass,Parameter,控制方程,Page 47,The continuity equation expresses the principle of conservation of mass for a control volume.
Momentum equation,Equation,EXPRESSES,Newton's second law,Equation,控制方程,Page 48,The momentum equation expresses Newton's second law of motion for a fluid passing through a control volume.
Energy equation,Equation,EXPRESSES,First law of thermodynamics,Equation,控制方程,Page 49,The energy equation is a statement of the first law of thermodynamics applied to a fluid flowing through a control volume.
Steady flow,Parameter,DEFINED_AS,Time-independent properties,Parameter,流体特性,Page 47,A flow is defined as steady if its properties at any point within the control volume do not vary with time.
One-dimensional flow,Parameter,DEFINED_AS,Uniform properties across cross section,Parameter,流体特性,Page 47,A flow is one-dimensional if the fluid properties are uniform across any cross section perpendicular to the flow direction.
Perfect gas,Parameter,OBEYS,Thermal equation of state,Equation,热力学基础,Page 50,A perfect gas is a gas whose intermolecular forces are negligible and obeys the thermal equation of state P = rho*R*T.
Calorically perfect gas,Parameter,HAS,Constant specific heats,Parameter,热力学基础,Page 50,A calorically perfect gas is a perfect gas with constant specific heats (c_p and c_v are constants).
Speed of sound,Parameter,CALCULATED_BY,Square root of gamma*R*T,Parameter,气体动力学,Page 51,The speed of sound 'a' in a calorically perfect gas is given by a = sqrt(gamma * R * T).
Mach number,Parameter,DEFINED_AS,Ratio of velocity to speed of sound,Parameter,气体动力学,Page 51,The Mach number M is defined as the ratio of the local fluid velocity V to the local speed of sound 'a'.
Subsonic flow,Parameter,HAS,Mach number less than one,Parameter,流动状态,Page 51,Flow where the local Mach number is strictly less than 1.0.
Supersonic flow,Parameter,HAS,Mach number greater than one,Parameter,流动状态,Page 51,Flow where the local Mach number is strictly greater than 1.0.
Sonic flow,Parameter,HAS,Mach number equal to one,Parameter,流动状态,Page 51,Flow where the local Mach number is exactly equal to 1.0.
Stagnation temperature,Parameter,INDICATES,Total enthalpy of gas,Parameter,热力学属性,Page 52,Stagnation temperature (or total temperature) T_t represents the temperature achieved when a fluid is decelerated to zero velocity adiabatically.
Stagnation temperature,Parameter,INCREASES_DUE_TO,Aerodynamic heating,Parameter,热力学属性,Page 52,The increase in temperature associated with deceleration of a high-speed flow is called aerodynamic heating.
Stagnation pressure,Parameter,DEFINED_AS,Pressure at zero velocity isentropically,Parameter,热力学属性,Page 52,Stagnation pressure (or total pressure) P_t is the pressure attained when a fluid is brought to rest isentropically.
Isentropic flow,Parameter,HAS,Constant entropy,Parameter,热力学过程,Page 53,An isentropic flow is both adiabatic and reversible; entropy remains constant along a streamline.
Area-Mach number relation,Equation,DESCRIBES,Flow area variation with Mach number,Parameter,等熵流动,Page 56,The area-Mach number relation links the cross-sectional area of a duct to the local Mach number for an isentropic flow.
Convergent duct,Parameter,DECELERATES,Supersonic flow,Parameter,气体动力学,Page 57,"In a convergent duct, a supersonic flow slows down (Mach number decreases)."
Convergent duct,Parameter,ACCELERATES,Subsonic flow,Parameter,气体动力学,Page 57,"In a convergent duct, a subsonic flow speeds up (Mach number increases)."
Divergent duct,Parameter,ACCELERATES,Supersonic flow,Parameter,气体动力学,Page 57,"In a divergent duct, a supersonic flow accelerates (Mach number increases)."
Divergent duct,Parameter,DECELERATES,Subsonic flow,Parameter,气体动力学,Page 57,"In a divergent duct, a subsonic flow decelerates (Mach number decreases)."
Throat,Parameter,IS_MINIMUM_AREA_OF,Convergent-divergent nozzle,Component,喷管几何,Page 57,"The location of minimum cross-sectional area is called the throat, where the Mach number can reach unity."
Choked flow,BoundaryCondition,OCCURS_AT,Mass flow maximum limit,BoundaryCondition,流动状态,Page 59,"When the Mach number at the throat reaches unity, the mass flow rate through the nozzle reaches its maximum possible value and is said to be choked."
Normal shock,Parameter,IS_A,Discontinuity in supersonic flow,Parameter,激波理论,Page 65,A normal shock wave is a thin discontinuity perpendicular to the flow direction that can occur only in supersonic flow.
Normal shock,Parameter,CHANGES_FLOW_FROM,Supersonic to Subsonic,Parameter,激波理论,Page 66,The Mach number always drops from a supersonic value upstream to a subsonic value downstream of a normal shock.
Normal shock,Parameter,INCREASES,Static pressure,Parameter,激波理论,Page 68,Static pressure increases significantly across a normal shock wave.
