source,target,relation,relation_group,weight,page,logic,trend,description
1,157,PRODUCES,REFERENCE,0.4,Page 2,A propulsion system is a machine that produces thrust to move an object forward.,,
1,2,CLASSIFIED_TO,REFERENCE,0.4,Page 5,Propulsion systems are conveniently divided into two categories: airbreathing engines and non-airbreathing engines.,,
1,3,CLASSIFIED_TO,REFERENCE,0.4,Page 5,Propulsion systems are conveniently divided into two categories: airbreathing engines and non-airbreathing engines.,,
2,158,UTILIZES,REFERENCE,0.4,Page 5,An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.,,
3,159,CARRIES,REFERENCE,0.4,Page 5,A non-airbreathing engine carries both the fuel and the oxidizer required for combustion.,,
3,49,SYNONYMOUS_WITH,REFERENCE,0.4,Page 5,Rocket engines are the primary example of non-airbreathing engines.,,
2,6,INCLUDES,REFERENCE,0.4,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet.",,
2,7,INCLUDES,REFERENCE,0.4,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet.",,
2,8,INCLUDES,REFERENCE,0.4,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet.",,
2,9,INCLUDES,REFERENCE,0.4,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet.",,
2,10,INCLUDES,REFERENCE,0.4,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet.",,
2,11,INCLUDES,REFERENCE,0.4,Page 5,"Airbreathing engines include the turbojet, turbofan, turboprop, turboshaft, ramjet, and pulsejet.",,
4,160,IS_CORE_OF,REFERENCE,0.4,Page 6,The core of any gas turbine engine is the gas generator.,,
4,93,CONSISTS_OF,REFERENCE,0.4,Page 6,"The gas generator consists of a compressor, a combustor, and a turbine.",,
4,99,CONSISTS_OF,REFERENCE,0.4,Page 6,"The gas generator consists of a compressor, a combustor, and a turbine.",,
4,5,CONSISTS_OF,REFERENCE,0.4,Page 6,"The gas generator consists of a compressor, a combustor, and a turbine.",,
5,93,DRIVES,REFERENCE,0.4,Page 6,The turbine extracts energy from the hot gas to drive the compressor.,,
6,104,ADDS,REFERENCE,0.4,Page 6,A turbojet engine is formed by adding an inlet and an exhaust nozzle to the gas generator.,,
6,90,ADDS,REFERENCE,0.4,Page 6,A turbojet engine is formed by adding an inlet and an exhaust nozzle to the gas generator.,,
7,161,ADDS,REFERENCE,0.4,Page 6,A turbofan engine adds a fan driven by an additional turbine stage or a separate spool.,,
8,162,DRIVES,REFERENCE,0.4,Page 7,A turboprop engine uses a gas turbine core to drive a propeller through a reduction gearbox.,,
9,163,DELIVERS,REFERENCE,0.4,Page 7,"A turboshaft engine delivers power to a shaft to drive something other than a propeller, such as a helicopter rotor.",,
10,164,HAS_NO,REFERENCE,0.4,Page 7,The ramjet engine has no moving parts (no compressor or turbine) and relies on forward speed to compress air.,,
11,165,OPERATES_BY,REFERENCE,0.4,Page 7,A pulsejet engine operates with periodic or intermittent combustion using valves or acoustic geometry.,,
12,166,DEFINED_AS,REFERENCE,0.4,Page 8,"The uninstalled thrust (F_n) is the force produced by the engine alone, neglecting installation effects.",,
13,12,CALCULATED_FROM,REFERENCE,0.4,Page 8,The installed thrust F is equal to the uninstalled thrust F_n minus the inlet drag D_inlet and the nozzle drag D_nozzle.,,
13,14,SUBSTRACTS,REFERENCE,0.4,Page 8,F = F_n - D_inlet - D_nozzle,,
13,15,SUBSTRACTS,REFERENCE,0.4,Page 8,F = F_n - D_inlet - D_nozzle,,
14,167,IS_CAUSED_BY,REFERENCE,0.4,Page 8,Drag associated with the engine intake aerodynamic forces.,,
15,168,IS_CAUSED_BY,REFERENCE,0.4,Page 8,Drag associated with the exhaust aft-end geometry and flow field.,,
16,169,DEFINED_AS,REFERENCE,0.4,Page 11,Thrust specific fuel consumption (TSFC or S) is defined as the mass flow rate of fuel divided by the thrust.,,
17,170,INDICATES,REFERENCE,0.4,Page 11,Lower TSFC indicates a more fuel-efficient engine for a given thrust requirement.,,
18,171,MEASURES,REFERENCE,0.4,Page 12,Thermal efficiency is the ratio of the rate of kinetic energy production to the thermal power input from fuel.,,
19,172,MEASURES,REFERENCE,0.4,Page 12,Propulsive efficiency measures how effectively the engine's kinetic energy output is converted into aircraft propulsive power.,,
20,173,PRODUCT_OF,REFERENCE,0.4,Page 13,The overall efficiency of a propulsion system is the product of its thermal and propulsive efficiencies.,,
21,174,DEFINED_AS,REFERENCE,0.4,Page 15,Specific thrust is the thrust produced per unit mass flow rate of air entering the engine.,,
22,175,DEFINED_AS,REFERENCE,0.4,Page 16,The bypass ratio (alpha) is the ratio of the mass flow rate bypassing the core to the mass flow rate passing through the core.,,
23,176,ASSOCIATED_WITH,REFERENCE,0.4,Page 17,High bypass ratio engines generally provide lower TSFC at subsonic cruise speeds.,,
24,177,EXPRESSES,REFERENCE,0.4,Page 47,The continuity equation expresses the principle of conservation of mass for a control volume.,,
25,178,EXPRESSES,REFERENCE,0.4,Page 48,The momentum equation expresses Newton's second law of motion for a fluid passing through a control volume.,,
26,179,EXPRESSES,REFERENCE,0.4,Page 49,The energy equation is a statement of the first law of thermodynamics applied to a fluid flowing through a control volume.,,
27,180,DEFINED_AS,REFERENCE,0.4,Page 47,A flow is defined as steady if its properties at any point within the control volume do not vary with time.,,
28,181,DEFINED_AS,REFERENCE,0.4,Page 47,A flow is one-dimensional if the fluid properties are uniform across any cross section perpendicular to the flow direction.,,
29,182,OBEYS,REFERENCE,0.4,Page 50,A perfect gas is a gas whose intermolecular forces are negligible and obeys the thermal equation of state P = rho*R*T.,,
30,183,HAS,REFERENCE,0.4,Page 50,A calorically perfect gas is a perfect gas with constant specific heats (c_p and c_v are constants).,,
