source_id,source_labels,source_properties,relation,target_id,target_labels,target_properties
342,[Component],"{
  network_level: 1,
  knowledge_domain: 系统原理,
  importance: 1.0,
  name: Propulsion system,
  description: A propulsion system is a machine that produces thrust to move an object forward.,
  subsystem: General,
  id: 1,
  physics_domain: GeneralPhysics
}",PRODUCES,498,[Parameter],"{
  network_level: 2,
  knowledge_domain: 系统原理,
  importance: 0.8,
  name: Thrust,
  description: A propulsion system is a machine that produces thrust to move an object forward.,
  subsystem: General,
  id: 157,
  physics_domain: GeneralPhysics
}"
342,[Component],"{
  network_level: 1,
  knowledge_domain: 系统原理,
  importance: 1.0,
  name: Propulsion system,
  description: A propulsion system is a machine that produces thrust to move an object forward.,
  subsystem: General,
  id: 1,
  physics_domain: GeneralPhysics
}",CLASSIFIED_TO,343,[Component],"{
  network_level: 1,
  knowledge_domain: 工作原理,
  importance: 1.0,
  name: Airbreathing engine,
  description: An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.,
  subsystem: General,
  id: 2,
  physics_domain: GeneralPhysics
}"
342,[Component],"{
  network_level: 1,
  knowledge_domain: 系统原理,
  importance: 1.0,
  name: Propulsion system,
  description: A propulsion system is a machine that produces thrust to move an object forward.,
  subsystem: General,
  id: 1,
  physics_domain: GeneralPhysics
}",CLASSIFIED_TO,344,[Component],"{
  network_level: 1,
  knowledge_domain: 工作原理,
  importance: 1.0,
  name: Non-airbreathing engine,
  description: A non-airbreathing engine carries both the fuel and the oxidizer required for combustion.,
  subsystem: General,
  id: 3,
  physics_domain: GeneralPhysics
}"
343,[Component],"{
  network_level: 1,
  knowledge_domain: 工作原理,
  importance: 1.0,
  name: Airbreathing engine,
  description: An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.,
  subsystem: General,
  id: 2,
  physics_domain: GeneralPhysics
}",UTILIZES,499,[Parameter],"{
  network_level: 2,
  knowledge_domain: 工作原理,
  importance: 0.8,
  name: Atmospheric oxygen,
  description: An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.,
  subsystem: General,
  id: 158,
  physics_domain: GeneralPhysics
}"
343,[Component],"{
  network_level: 1,
  knowledge_domain: 工作原理,
  importance: 1.0,
  name: Airbreathing engine,
  description: An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.,
  subsystem: General,
  id: 2,
  physics_domain: GeneralPhysics
}",INCLUDES,347,[Component],"{
  network_level: 1,
  knowledge_domain: 结构组成,
  importance: 1.0,
  name: Turbojet engine,
  description: A turbojet engine is formed by adding an inlet and an exhaust nozzle to the gas generator.,
  subsystem: General,
  id: 6,
  physics_domain: GeneralPhysics
}"
343,[Component],"{
  network_level: 1,
  knowledge_domain: 工作原理,
  importance: 1.0,
  name: Airbreathing engine,
  description: An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.,
  subsystem: General,
  id: 2,
  physics_domain: GeneralPhysics
}",INCLUDES,348,[Component],"{
  network_level: 1,
  knowledge_domain: 结构组成,
  importance: 1.0,
  name: Turbofan engine,
  description: A turbofan engine adds a fan driven by an additional turbine stage or a separate spool.,
  subsystem: General,
  id: 7,
  physics_domain: GeneralPhysics
}"
343,[Component],"{
  network_level: 1,
  knowledge_domain: 工作原理,
  importance: 1.0,
  name: Airbreathing engine,
  description: An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.,
  subsystem: General,
  id: 2,
  physics_domain: GeneralPhysics
}",INCLUDES,349,[Component],"{
  network_level: 1,
  knowledge_domain: 结构组成,
  importance: 1.0,
  name: Turboprop engine,
  description: A turboprop engine uses a gas turbine core to drive a propeller through a reduction gearbox.,
  subsystem: General,
  id: 8,
  physics_domain: GeneralPhysics
}"
343,[Component],"{
  network_level: 1,
  knowledge_domain: 工作原理,
  importance: 1.0,
  name: Airbreathing engine,
  description: An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.,
  subsystem: General,
  id: 2,
  physics_domain: GeneralPhysics
}",INCLUDES,350,[Component],"{
  network_level: 1,
  knowledge_domain: 输出特性,
  importance: 1.0,
  name: Turboshaft engine,
  description: A turboshaft engine delivers power to a shaft to drive something other than a propeller, such as a helicopter rotor.,
  subsystem: General,
  id: 9,
  physics_domain: GeneralPhysics
}"
343,[Component],"{
  network_level: 1,
  knowledge_domain: 工作原理,
  importance: 1.0,
  name: Airbreathing engine,
  description: An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.,
  subsystem: General,
  id: 2,
  physics_domain: GeneralPhysics
}",INCLUDES,351,[Component],"{
  network_level: 1,
  knowledge_domain: 结构特性,
  importance: 1.0,
  name: Ramjet engine,
  description: The ramjet engine has no moving parts (no compressor or turbine) and relies on forward speed to compress air.,
  subsystem: General,
  id: 10,
  physics_domain: GeneralPhysics
}"
343,[Component],"{
  network_level: 1,
  knowledge_domain: 工作原理,
  importance: 1.0,
  name: Airbreathing engine,
  description: An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.,
  subsystem: General,
  id: 2,
  physics_domain: GeneralPhysics
}",INCLUDES,352,[Component],"{
  network_level: 1,
  knowledge_domain: 工作原理,
  importance: 1.0,
  name: Pulsejet engine,
  description: A pulsejet engine operates with periodic or intermittent combustion using valves or acoustic geometry.,
  subsystem: General,
  id: 11,
  physics_domain: GeneralPhysics
}"
