id,name,category,subsystem,physics_domain,knowledge_domain,network_level,importance,description
1,Propulsion system,Component,General,GeneralPhysics,系统原理,1,1.0,A propulsion system is a machine that produces thrust to move an object forward.
2,Airbreathing engine,Component,General,GeneralPhysics,工作原理,1,1.0,An airbreathing engine utilizes the oxygen in the atmospheric air to burn the fuel carried within the vehicle.
3,Non-airbreathing engine,Component,General,GeneralPhysics,工作原理,1,1.0,A non-airbreathing engine carries both the fuel and the oxidizer required for combustion.
4,Gas generator,Parameter,General,GeneralPhysics,部件关系,2,0.8,The core of any gas turbine engine is the gas generator.
5,Turbine,Component,Expansion,GeneralPhysics,部件关系,1,1.0,The turbine extracts energy from the hot gas to drive the compressor.
6,Turbojet engine,Component,General,GeneralPhysics,结构组成,1,1.0,A turbojet engine is formed by adding an inlet and an exhaust nozzle to the gas generator.
7,Turbofan engine,Component,General,GeneralPhysics,结构组成,1,1.0,A turbofan engine adds a fan driven by an additional turbine stage or a separate spool.
8,Turboprop engine,Component,General,GeneralPhysics,结构组成,1,1.0,A turboprop engine uses a gas turbine core to drive a propeller through a reduction gearbox.
9,Turboshaft engine,Component,General,GeneralPhysics,输出特性,1,1.0,"A turboshaft engine delivers power to a shaft to drive something other than a propeller, such as a helicopter rotor."
10,Ramjet engine,Component,General,GeneralPhysics,结构特性,1,1.0,The ramjet engine has no moving parts (no compressor or turbine) and relies on forward speed to compress air.
11,Pulsejet engine,Component,General,GeneralPhysics,工作原理,1,1.0,A pulsejet engine operates with periodic or intermittent combustion using valves or acoustic geometry.
12,Uninstalled thrust,BoundaryCondition,General,GeneralPhysics,性能指标,4,0.5,"The uninstalled thrust (F_n) is the force produced by the engine alone, neglecting installation effects."
13,Installed thrust,BoundaryCondition,General,GeneralPhysics,性能指标,4,0.5,The installed thrust F is equal to the uninstalled thrust F_n minus the inlet drag D_inlet and the nozzle drag D_nozzle.
14,Inlet drag,Component,General,GeneralPhysics,安装损失,1,1.0,Drag associated with the engine intake aerodynamic forces.
15,Nozzle drag,Component,Exhaust,GeneralPhysics,安装损失,1,1.0,Drag associated with the exhaust aft-end geometry and flow field.
16,Thrust specific fuel consumption,Parameter,General,GeneralPhysics,性能指标,2,0.8,Thrust specific fuel consumption (TSFC or S) is defined as the mass flow rate of fuel divided by the thrust.
17,TSFC,Parameter,General,GeneralPhysics,性能指标,2,0.8,Lower TSFC indicates a more fuel-efficient engine for a given thrust requirement.
