主语,关系,宾语,知识分类,跨章节逻辑说明,原文参考/核心概念释义
Ideal Brayton cycle,modified_by,Component irreversibilities,循环演变,第4章理想循环被第5章引入的摩擦与非等熵损失修正,"The realistic engine cycle analysis (Chapter 7) modifies the ideal Brayton cycle (Chapter 4) by incorporating polytropic efficiencies and pressure drops (Chapter 5)."
Ideal cycle analysis,evolves_into,Real cycle analysis,循环演变,第4章的理想参数体系在第7章全面重构为真实热力学方程,"Equations for ideal parametric analysis in Chapter 4 are expanded in Chapter 7 to account for real component behavior from Chapter 5."
Nozzle throat area,determines_in_off_design,Compressor operating line,运行约束,第4/7章设计的部件几何面积在第8章非设计点分析中成为刚性约束,"The physical throat area of the components designed in Chapters 4 and 7 acts as a geometric constraint that fixes the operating line in Chapter 8."
Design point parameters,constrain,Off-design performance,运行约束,第4和第7章选定的设计点参数在第8章转化为定型发动机的运行边界,"Reference design choices (Chapters 4 & 7) define the fixed constants (like turbine area) needed for off-design performance evaluation (Chapter 8)."
Isentropic flow theory,applied_to,Convergent-divergent nozzle,理论应用,第2章的一维等熵流动公式直接应用于第3章火箭喷管和第4/5章喷管设计,"Isentropic area-Mach relations from Chapter 2 are directly utilized to design rocket nozzles in Chapter 3 and exhaust nozzles in Chapters 4 and 5."
Normal shock wave,causes_loss_in,Real supersonic inlet,理论应用,第2章的正激波总压损失直接导致了第5/7章中超声速进气道总压恢复系数pi_d的下降,"The total pressure drop across a normal shock (Chapter 2) explains the reduction of inlet recovery pi_d in supersonic flight (Chapters 5 and 7)."
Thermal choking,limits,Maximum combustor heat addition,理论应用,第2章Rayleigh流中的热壅塞现象在第5/7/8章中限制了燃烧室和加力燃烧室的最大加热量,"The foundational physics of Rayleigh flow and thermal choking (Chapter 2) constraint the maximum fuel injection in burners (Chapters 5, 7, and 8)."
Choked flow condition,imposes,Mass flow alignment,运行约束,第2章截面马赫数等于1的壅塞状态在第8章演变为涡轮导向器和喷管对整机流量的控制规律,"The throat choking criterion (Chapter 2) becomes the fundamental law regulating component mass flow matching in off-design operation (Chapter 8)."
Rocket thrust equation,expanded_by,Nozzle efficiency and chemical kinetics,火箭深化,第3章的理想推力方程在第6章中被非等熵喷管效率和冻结/平衡流化学反应修正,"The ideal rocket thrust relations (Chapter 3) are modified in Chapter 6 by implementing nozzle velocity coefficients and shifting/frozen chemical behaviors."
Propellant mass flow,coupled_with,Turbopump power balance,火箭深化,第3章计算推力所需的燃料/氧化剂流量在第6章中必须满足涡轮泵动力循环的功率平衡,"The design propellant mass flow derived from Chapter 3 specific impulse requirements must satisfy the pump-turbine shaft power matching in Chapter 6."
Combustor pressure loss,causes_shift_in,Optimal engine bypass ratio,参数耦合,第5章引入的燃烧室粘性与加热损失会导致第7章计算的真实最佳涵道比向低值偏移,"The combustor and duct pressure losses detailed in Chapter 5 directly reduce the theoretical optimum bypass ratio when evaluated in Chapter 7 real cycles."
Polytropic efficiency,used_to_predict,Component temperature ratios,参数耦合,第5章定义的多方效率被直接作为输入量用于第7章和第8章的整机热力计算,"The stage-independent polytropic efficiencies defined in Chapter 5 are used as fundamental inputs for real cycle (Chapter 7) and off-design (Chapter 8) math models."
Turbine material thermal limit,triggers,Control logic shift to Theta_break,整机控制,第5章提到的涡轮耐温极限在第8章中触发了整机控制规律从限制压比向限制涡前温度的转折,"The metallurgical temperature limit of turbine blades (Chapter 5) establishes the boundary for the hot-day Theta_break control logic (Chapter 8)."
Afterburner pressure drop,increases,Thrust specific fuel consumption,参数耦合,第5章详述的加力燃烧室总压损失放大了第7章中真实加力发动机的耗油率 penalty,"The fundamental thermal pressure drop in afterburners (Chapter 5 Rayleigh effect) severely penalizes the real augmented TSFC calculated in Chapter 7."
